Source Plate	Source Row	Source Column	Destination Plate	Destination Row	Destination Column	Gene
1	1	1	1	1	1	YJR155W
1	1	6	1	1	2	YDR252W
1	1	10	1	1	3	YDR313C
1	1	13	1	1	4	YLR155C
1	1	24	1	1	5	YNL217W
1	2	1	1	1	6	YNL152W
1	2	2	1	1	7	YDR043C
1	2	14	1	1	8	YGR209C
1	2	20	1	1	9	YHR087W
1	2	24	1	1	10	YJL115W
1	3	3	1	1	11	YJR154W
1	3	10	1	1	12	YDR337W
1	3	13	1	1	13	YLR157C
1	3	16	1	1	14	YOR126C
1	3	18	1	1	15	YOR228C
1	3	19	1	1	16	YGL170C
1	3	23	1	1	17	YDR090C
1	4	5	1	1	18	YKL041W
1	4	7	1	1	19	YPR203W
1	4	9	1	1	20	YPL234C
1	4	13	1	1	21	YOR051C
1	4	24	1	1	22	YIL082W
1	5	1	1	1	23	YJR013W
1	5	2	1	1	24	YDR065W
1	5	5	1	2	1	YLR156W
1	5	9	1	2	2	YLR192C
1	5	19	1	2	3	YHL009W-A
1	6	11	1	2	4	YPL055C
1	6	15	1	2	5	YBR193C
1	7	5	1	2	6	YLR159W
1	7	12	1	2	7	YDR259C
1	8	6	1	2	8	YDR071C
1	8	10	1	2	9	YFL068W
1	8	16	1	2	10	YGL161C
1	8	18	1	2	11	YHL022C
1	8	19	1	2	12	YBR155W
1	9	1	1	2	13	YJR083C
1	9	8	1	2	14	YDR262W
1	9	9	1	2	15	YLR271W
1	9	14	1	2	16	YOR394W
1	9	15	1	2	17	YMR295C
1	9	19	1	2	18	YGR156W
1	10	10	1	2	19	YEL044W
1	10	12	1	2	20	YEL057C
1	11	13	1	2	21	YMR325W
1	11	22	1	2	22	YNL252C
1	12	4	1	2	23	YDR179C
1	12	5	1	2	24	YJR011C
1	12	13	1	3	1	YBR217W
1	12	17	1	3	2	YBR050C
1	13	14	1	3	3	YOR094W
1	14	21	1	3	4	YCL066W
1	14	22	1	3	5	YIL020C
1	15	1	1	3	6	YKL151C
1	15	7	1	3	7	YLL060C
1	15	14	1	3	8	YOR215C
1	15	23	1	3	9	YDR214W
1	16	2	1	3	10	YDR070C
1	16	4	1	3	11	YDR073W
1	16	14	1	3	12	YGR109W-A
2	2	4	1	3	13	YIL003W
2	2	16	1	3	14	YKL177W
2	3	1	1	3	15	YHR054C
2	3	3	1	3	16	YMR043W
2	3	7	1	3	17	YPR133C
2	3	20	1	3	18	YLL041C
2	4	2	1	3	19	YBL090W
