Source Plate	Source Row	Source Column	Destination Plate	Destination Row	Destination Column	Gene
1	1	1	1	1	1	YJR155W
1	1	2	1	1	2	YDR202C
1	1	4	1	1	3	YDR276C
1	1	6	1	1	4	YDR252W
1	1	7	1	1	5	YLR229C
1	1	9	1	1	6	YLR186W
1	1	10	1	1	7	YDR313C
1	1	11	1	1	8	YKR104W
1	1	13	1	1	9	YLR155C
1	1	14	1	1	10	YDR222W
1	1	15	1	1	11	YMR181C
1	1	17	1	1	12	YMR264W
1	1	18	1	1	13	YOR083W
1	1	19	1	1	14	YML063W
1	1	20	1	1	15	YNL255C
1	1	21	1	1	16	YOR250C
1	1	22	1	1	17	YOL147C
1	1	24	1	1	18	YNL217W
1	2	1	1	1	19	YNL152W
1	2	2	1	1	20	YDR043C
1	2	3	1	1	21	YJR067C
1	2	4	1	1	22	YDR115W
1	2	5	1	1	23	YJR012C
1	2	7	1	1	24	YPR182W
1	2	8	1	2	1	YDR078C
1	2	9	1	2	2	YPR188C
1	2	10	1	2	3	YFL057C
1	2	11	1	2	4	YOR164C
1	2	12	1	2	5	YFR001W
1	2	13	1	2	6	YOR042W
1	2	14	1	2	7	YGR209C
1	2	16	1	2	8	YHR014W
1	2	17	1	2	9	YBR185C
1	2	18	1	2	10	YGL159W
1	2	20	1	2	11	YHR087W
1	2	21	1	2	12	YDL039C
1	2	23	1	2	13	YDR022C
1	2	24	1	2	14	YJL115W
1	3	1	1	2	15	YKR055W
1	3	2	1	2	16	YDR173C
1	3	3	1	2	17	YJR154W
1	3	4	1	2	18	YDR363W-A
1	3	5	1	2	19	YLL014W
1	3	6	1	2	20	YDR260C
1	3	7	1	2	21	YLR016C
1	3	8	1	2	22	YDR296W
1	3	9	1	2	23	YLR165C
1	3	10	1	2	24	YDR337W
1	3	11	1	3	1	YLR209C
1	3	13	1	3	2	YLR157C
1	3	14	1	3	3	YDR255C
1	3	15	1	3	4	YML055W
1	3	16	1	3	5	YOR126C
1	3	17	1	3	6	YML053C
1	3	18	1	3	7	YOR228C
1	3	19	1	3	8	YGL170C
1	3	20	1	3	9	YNR036C
1	3	22	1	3	10	YNL129W
1	3	23	1	3	11	YDR090C
1	3	24	1	3	12	YNR071C
1	4	2	1	3	13	YDR050C
1	4	3	1	3	14	YJR058C
1	4	4	1	3	15	YDR079W
1	4	5	1	3	16	YKL041W
1	4	6	1	3	17	YDR185C
1	4	7	1	3	18	YPR203W
1	4	8	1	3	19	YDR162C
1	4	9	1	3	20	YPL234C
1	4	10	1	3	21	YEL028W
1	4	11	1	3	22	YOR079C
1	4	13	1	3	23	YOR051C
1	4	14	1	3	24	YGR035C
1	4	15	1	4	1	YAR002C-A
1	4	16	1	4	2	YHR029C
1	4	18	1	4	3	YHR052W
1	4	19	1	4	4	YBR192W
1	4	23	1	4	5	YDR032C
1	4	24	1	4	6	YIL082W
1	5	1	1	4	7	YJR013W
1	5	2	1	4	8	YDR065W
